HeritageItemID,ItemName,HeritageTypeName,HeritageGroupName,EndorsedSignificance,DataEntryStatus,AssessedSignificance,ListingNumber,OwnerCode1,OwnerCode2,OwnerCode3,AreaHectares,AboriginalAreaName,Suburb,Address,LocalGovtAreaName,StreetNumber,StreetName,Property
5065851,Cassilis Public School - Buildings B00A-B00D,Built,,1,Basic,1,5,12229,1527,Hunter,2.023,Wanaruah,Cassilis,37 Coolah Road Cassilis 2329,Upper Hunter,37,Coolah Road,1 1 1 442439
5065852,Murrurundi Public School - Buildings B00A and B00E,Built,,1,Basic,1,5,10661,2686,Hunter,0.8517,Wanaruah,Murrurundi,135 Mayne Street Murrurundi 2338,Upper Hunter,135,Mayne Street,1 1 1 194564
5065853,"Scone Public School - Buildings B00A, B00I and B00L",Built,,1,Basic,1,5,11949,7311,Hunter,1.94726,Wanaruah,Scone,90 Liverpool Street Scone 2337,Upper Hunter,90,Liverpool Street,1 1 1 349170
5065854,Cassilis Public School,Complex / Group,Education,1,Basic,1,6,12229,1527,Hunter,2.023,Wanaruah,Cassilis,37 Coolah Road Cassilis 2329,Upper Hunter,37,Coolah Road,1 1 1 442439
5065855,Merriwa Central School - Public School,Complex / Group,Education,1,Basic,1,6,11578,2528,Hunter,1.3063,Wanaruah,Merriwa,33-37 Mackenzie Street Merriwa 2329,Upper Hunter,33-37,Mackenzie Street,1 1 1 122483
5065856,Merriwa Central School - High School,Complex / Group,Education,1,Basic,1,6,11574,2528,Hunter,2.023,Wanaruah,Merriwa,59-79 Bow Street Merriwa 2329,Upper Hunter,59-79,Bow Street,1 12-20 Section 4 1 7184
5065857,Merriwa Central School - Agricultural Plot,Complex / Group,Education,1,Basic,1,6,14569,2528,Hunter,2.0233,Wanaruah,Merriwa,59-79 Bow Street Merriwa 2329,Upper Hunter,59-79,Bow Street,1 1 1 794674
5065859,Scone Public School,Complex / Group,Education,1,Basic,1,6,11949,7311,Hunter,1.86632,Wanaruah,Scone,90 Liverpool Street Scone 2337,Upper Hunter,90,Liverpool Street,1 1 1 349170
5065858,Murrurundi Public School,Complex / Group,Education,1,Basic,1,6,10661,2686,Hunter,0.8517,Wanaruah,Murrurundi,135 Mayne Street Murrurundi 2338,Upper Lachlan,135,Mayne Street,1 1 1 194564
5065860,Bigga Public School - Building B00A,Built,,1,Basic,1,5,11649,1223,South East and Tablelands,3.958,Wiradjuri,Bigga,Binda Street Bigga 2583,Upper Lachlan,,Binda Street,1 206 1 753041
