School_code,AgeID,SchoolName,Street,Town_suburb,Postcode,Latitude,Longitude
5103,48586,Arncliffe West Infants School,Loftus St,Arncliffe ,2205,-33.931832,151.14516
5128,49159,Nillo Infants School,37 Belmore Road,LORN,2320,-32.727541,151.559611
8373,54678,Five Islands Secondary College,Military Rd,Port Kembla,2505,-34.489274,150.913541
5141,56242,Kyeemagh Public School,Beehag St,KYEEMAGH,2216,-33.94902,151.162305
5453,56264,Putland School,Great Western Hwy & Water St,Werrington,2747,-33.764297,150.750385
8284,57056,Georges River College Oatley Senior Campus,Oatley Ave & Hurstville Rd,Oatley ,2223,-33.977001,151.081391
8281,56647,Great Lakes College Senior Campus,The Northern Parkway,Tuncurry,2428,-32.16071754,152.4937905
5741,64076,Kamay Botany Bay Environmental Education Centre,Kamay Botany Bay Environmental Education Centre KURNELL PUBLIC SCHOOL 13-31 DAMPIER STREET KURNELL NSW 2231,,2231,-34.003706,151.221169
5711,56315,Shepherds Park School,129 Fernleigh Rd,Wagga Wagga ,2650,-35.130108,147.344225
5454,56225,Dorchester School,Briar Rd,Campbelltown ,2560,-34.088474,150.826331
5429,64079,Camden Park Environmental Education Centre,Finns Rd & Remembrance Drive,Menangle ,2568,-34.120004,150.709685
5456,56188,Girrakool School,c/o Frank Baxter YJC The Avenue,Kariong,2250,-33.4237,151.296
5540,56178,Bridge Road School,127 Parramatta Rd,Camperdown ,2050,-33.887445,151.175254
5430,64082,Georges River Environmental Education Centre,2 Central Ave,Chipping Norton ,2170,-33.910278,150.961511
5538,56158,Arndell School,Badajoz Rd,North Ryde ,2113,-33.803223,151.125535
5743,64084,Illawarra Environmental Education Centre,Killalea Drive,Dunmore,2529,-34.610625,150.854786
8277,56110,Wyndham College,Nirimba Precinct Eastern Rd,Quakers Hill ,2763,-33.72608922,150.8795746
8381,55388,Bankstown Senior College,Antwerp St,Bankstown ,2200,-33.929121,151.022569
8599,55386,Bradfield College,213 Pacific Highway,St Leonards,2065,-33.820468,151.188457
5428,55118,Field of Mars Environmental Education Centre,Pittwater Rd,East Ryde,2113,-33.816092,151.132849
8272,54742,Coffs Harbour Senior College,363 Hogbin Drive,Coffs Harbour,2450,-30.330173,153.102656
5740,64090,Rumbalara Environmental Education Centre,Donnison St,Gosford ,2250,-33.428082,151.347464
5116,49421,Glen Innes West Infants School,Coronation Ave,Glen Innes ,2370,-29.738734,151.723882
5133,49308,Stanford Merthyr Infants School,Maitland St,Stanford Merthyr ,2327,-32.823423,151.495438
5458,64093,Awabakal Environmental Education Centre,412 SANDGATE RD,SHORTLAND,2307,-32.876107,151.696132
5247,49146,New Lambton Heights Infants School,NEW LAMBTON HEIGHTS INFANTS SC 176 LOOKOUT ROAD,NEW LAMBTON HEIGHTS,2305,-32.934855,151.688027
8880,49115,Callaghan College Jesmond Senior Campus,Janet St,Jesmond ,2299,-32.900971,151.696335
5738,49036,Kotara School,Seaview & Park Aves,Kotara ,2289,-32.94283,151.700379
5513,67657,St George Hospital School,Paediatric Ward Lvl 1 East,Kogarah,2217,-33.96671,151.13399
5195,48633,Hurstville Grove Infants School,81 Landsdowne St,Penshurst ,2222,-33.973128,151.090536
5148,48591,Bardwell Park Infants School,4 Crewe Lane,Bardwell Park ,2207,-33.933428,151.12555
5246,48576,Bankstown South Infants School,Stacey St,Bankstown ,2200,-33.93123,151.038402
5241,48558,Mount Lewis Infants School,Noble Ave,Greenacre ,2190,-33.916084,151.04976
5188,48150,Sefton Infants School,180-194 Rodd St,Sefton ,2162,-33.889237,151.009588
5562,48142,Fowler Road School,Cnr Fowler Rd & Matthew St,Merrylands,2160,-33.841497,150.975533
5120,47775,Yeo Park Infants School,Victoria St,Ashfield,2131,-33.902692,151.130055
5751,67665,The Childrens Hospital School,Hawkesbury Rd & Hainsworth St,Westmead ,2145,-33.802243,150.991834
8568,47710,Northern Beaches Secondary College Freshwater Senior Campus,153 Harbord Road,FRESHWATER,2096,-33.76751,151.279975
5112,47607,Taverners Hill Infants School,Elswick St,Petersham ,2049,-33.888955,151.157199
5132,47601,Russell Lea Public School,Whittall Street,Russell Lea,2046,-33.861418,151.142572
1042,44930,Annandale North Public School,206 Johnston St,Annandale ,2038,-33.877905,151.171835
5104,47590,Australia Street Infants School,Australia St,Newtown ,2042,-33.895783,151.177607
8539,6496,Sydney Secondary College Blackwattle Bay Campus,Taylor St,Glebe ,2037,-33.875142,151.188357
8374,46489,Brisbane Water Secondary College Woy Woy Campus,25 EDWARD STREET,WOY WOY,2256,-33.492687,151.323582
8870,46426,St Marys Senior High School,Kalang Ave,St Marys,2760,-33.763119,150.770024
8325,46407,Moree Secondary College,Albert St,Moree ,2400,-29.46645,149.842344
8473,46360,Chifley College Senior Campus,67 North Parade,MOUNT DRUITT,2770,-33.769305,150.829855
8600,86659,Secondary College of Languages,"Level 11, 105 Phillip Street",Parramatta,2150,-33.8137843,151.0086802
5423,,John Brotchie Nursery School,1361 Botany Rd,Botany ,2019,-33.942627,151.196138
5750,63688,Red Hill Environmental Education Centre,Saunders Ave,Gulgong ,2852,-32.364632,149.536274
5515,63661,Stewart House School,22 Ellen St,Harbord ,2096,-33.77349,151.29131
5504,62858,Royal Far West School,22 Wentworth St,Manly ,2095,-33.798519,151.288476
5757,58125,Lincoln School,Westview St,Dubbo ,2830,-32.2313,148.5784
5650,57889,Palm Avenue School,Dragonfly Drive,Westmead,2145,-33.80257496,150.9851858
5583,57888,Verona School,135B Fairfield St,Fairfield East ,2165,-33.868235,150.9709
1512,48594,Carlton Public School,60 Cameron St,Bexley ,2207,-33.963496,151.12246
5582,57887,Wakefield School,School Rd,Wakefield ,2278,-32.956712,151.56443
8110,57696,Dubbo College Senior Campus,Tony McGrane Place,Dubbo,2830,-32.23506778,148.6285578
1573,45317,Clovelly Public School,Arden St,Waverley ,2024,-33.907431,151.26028
5516,57695,Centennial Park School,78A Avoca Street,Randwick,2031,-33.910564,151.243184
5756,57434,Induna School,57 Swallow Rd,South Grafton ,2460,-29.722447,152.94639
5680,63762,Thalgarrah Environmental Education Centre,Rockvale Rd,Armidale ,2350,-30.447933,151.82475
5679,64077,Bournda Environmental Education Centre,Bournda National Park,Kalaru ,2550,-36.7908,149.92712
5694,64078,Brewongle Environmental Education Centre,587 Chapel Hill Road,SACKVILLE NORTH,2756,-33.48167,150.891511
5731,64080,Cascade Environmental Education Centre,Coramba Rd,Cascade,2453,-30.233457,152.789665
5683,64081,Dorroughby Environmental Education Centre,2101 Dunoon Rd,Dorroughby ,2480,-28.656556,153.35174
5714,64083,Gibberagong Environmental Education Centre,Bobbin Head Picnic Area,North Turramurra,2074,-33.65937821,151.1586004
5690,64085,Longneck Lagoon Environmental Education Centre,Whitmore Rd,Maraylya ,2765,-33.576219,150.892806
5745,64086,Observatory Hill Environmental Education Centre,Level 4  40 Gloucester Street,THE ROCKS,2000,-33.860863,151.204832
5752,64087,Penrith Lakes Environmental Education Centre,89-151 Old Castlereagh Road,CASTLEREAGH,2749,-33.728553,150.686511
5734,64088,Riverina Environmental Education Centre,Cnr Sturt & Olympic Highway,Wagga Wagga ,2650,-35.12974837,147.3093131
5691,64089,Royal National Park Environmental Education Centre,159 Farnell Avenue,ROYAL NATIONAL PARK,2232,-34.06282,151.057682
5681,64091,Wambangalang Environmental Education Centre,Obley Rd,Dubbo ,2830,-32.48798,148.554792
2117,45499,Haberfield Public School,Denman Ave,Haberfield ,2045,-33.879467,151.134002
2036,51084,Goolma Public School,Gollan Rd,Goolma ,2852,-32.3688,149.26901
3077,50988,Sofala Public School,Turon Terrace,Sofala ,2795,-33.082242,149.695172
2245,50663,Jugiong Public School,Flyde St,Jugiong,2726,-34.820203,148.335447
4214,50550,Narrandera East Infants School,Elizabeth St,Narrandera ,2700,-34.750279,146.565792
5732,64092,Warrumbungle National Park Environmental Education Centre,Warrumbungle National Park,Coonabarabran ,2357,-31.25459,148.981077
5667,64094,Wooglemai Environmental Education Centre,Sheehys Creek Rd,Oakdale ,2570,-34.134567,150.499162
2308,48592,Bexley North Public School,116 Kingsland Rd N,Bexley ,2207,-33.940838,151.120374
5764,65792,Woodberry Learning Centre,Cnr Woodberry Rd & Lawson Ave,Woodberry,2322,-32.791554,151.671217
8588,66878,NSW School of Languages,35 West Street,Petersham,2049,-33.894807,151.150285
5543,67658,Royal Prince Alfred Hospital School,83-117 Parramatta Road,CAMPERDOWN,2050,-33.889314,151.180245
5544,67659,Royal North Shore Hospital School,"Level 7, Clinical Services Building, Royal North Shore Hospital",St Leonards,2065,-33.820685,151.19079
5545,67660,Sydney Childrens Hospital School,Level 0 High St,Randwick,2031,-33.919053,151.239067
5546,67661,Sutherland Hospital School,Child Adolescent Unit Level 3,Caringbah,2229,-34.038034,151.114597
5548,67662,Bankstown Hospital School,Paediatric Unit Gallipoli St,Bankstown,2200,-33.933446,151.021069
5551,67663,Illawarra Hospital School,Children's Ward Level 3,Wollongong,2500,-34.424793,150.883935
5558,67664,John Hunter Hospital School,Ward J2 Lookout Road,New Lambton Heights,2305,-32.921378,151.697398
5556,67669,Liverpool Hospital School,Elizabeth St,Liverpool ,2170,-33.919912,150.931084
1001,44402,Abbotsford Public School,350 Great North Rd,Abbotsford ,2046,-33.852728,151.131206
1041,45497,Annandale Public School,25 Johnston St,Annandale ,2038,-33.885782,151.169599
1064,47773,Ashbury Public School,34-76 Trevenar St,Ashbury,2193,-33.898833,151.11944
1065,47774,Ashfield Public School,Liverpool Rd,Ashfield ,2131,-33.889723,151.12821
1121,46390,Banksmeadow Public School,Trevelyan & Wiggins Sts,Botany ,2019,-33.953739,151.20661
1179,45338,Bellevue Hill Public School,Victoria Rd,Bellevue Hill ,2023,-33.886986,151.259785
1215,48601,Beverly Hills Public School,Stoney Ck & King Georges Rds,Beverly Hills,2209,-33.953449,151.085209
1240,45798,Birchgrove Public School,Birchgrove Rd,Balmain ,2041,-33.853009,151.177045
1255,56167,Blakehurst Public School,Dewrang St,Blakehurst ,2221,-33.98298,151.115779
1292,44421,Bondi Beach Public School,Campbell Pde,Bondi Beach ,2026,-33.8883,151.276821
1358,56179,Brighton-Le-Sands Public School,35 Crawford Road,BRIGHTON-LE-SANDS,2216,-33.962357,151.148929
1372,46923,Bronte Public School,13 Hewlett St,BRONTE,2024,-33.900605,151.262011
1483,47591,Camdenville Public School,Laura St,Newtown ,2042,-33.906146,151.175741
1497,48561,Canterbury Public School,Church St,Canterbury ,2193,-33.908761,151.122306
1508,48651,Caringbah Public School,Port Hacking Rd,Caringbah ,2229,-34.053433,151.122988
1513,48629,Carlton South Public School,65-69 Jubilee Ave,CARLTON,2218,-33.973045,151.128287
1566,48588,Clemton Park Public School,185 Bexley Rd,Earlwood,2206,-33.929708,151.108423
1605,44400,Como Public School,Genoa St,Como ,2226,-34.001832,151.069127
1613,48632,Connells Point Public School,2 Riverview Ave, Connells Point,2221,-33.984689,151.100306
1616,47053,Coogee Public School,Byron St & Coogee Bay Rd,Coogee ,2034,-33.920819,151.249846
1682,48656,Cronulla Public School,18-24 Burraneer Bay Rd,Cronulla ,2230,-34.054077,151.14773
1735,45323,Darlington Public School,Golden Grove St,Chippendale ,2008,-33.892638,151.18939
1768,46925,Double Bay Public School,William St,Double Bay ,2028,-33.874856,151.240894
1774,47603,Drummoyne Public School,Rawson Ave,Drummoyne ,2047,-33.856073,151.153035
1807,48589,Earlwood Public School,Homer St,Earlwood ,2206,-33.928982,151.12238
1845,44420,Engadine Public School,Waratah Rd,Engadine ,2233,-34.06335,151.012431
1920,47599,Five Dock Public School,13/33 Henry St,Five Dock ,2046,-33.866859,151.127318
3797,44409,Oatley West Public School,Oatley Park Ave,Oatley,2223,-33.979006,151.065459
1932,46141,Forest Lodge Public School,Bridge Rd,Forest Lodge ,2037,-33.882169,151.181597
1937,57425,Fort Street Public School,Observatory Hill 2 Upper Fort Street,Millers Point,2000,-33.860427,151.204871
3830,48627,Ramsgate Public School,Chuter Ave,Ramsgate ,2217,-33.981431,151.143549
2009,45334,Glenmore Road Public School,Glenmore Rd,Paddington ,2021,-33.881385,151.230233
2116,48645,Gymea Bay Public School,205A Gymea Bay Road,Gymea Bay,2227,-34.046905,151.082825
2149,44404,Heathcote Public School,Oliver St,Heathcote ,2233,-34.086704,151.007321
2197,44405,Hurstville Public School,50 Forest Road,HURSTVILLE,2220,-33.964695,151.110728
2198,44406,Hurstville South Public School,Maher St,Hurstville ,2220,-33.972516,151.099252
2270,47585,Kegworth Public School,60 Tebbutt St,Leichhardt ,2040,-33.886514,151.14693
2283,45335,Kensington Public School,77-79 Doncaster Avenue,KENSINGTON,2033,-33.909604,151.224965
2307,48598,Kingsgrove Public School,Kingsgrove Rd,Kingsgrove ,2208,-33.947822,151.10156
2319,48625,Kogarah Public School,Gladstone St,Kogarah ,2217,-33.962028,151.136618
2341,48662,Kurnell Public School,Dampier & Torres Sts,Kurnell ,2231,-34.010156,151.203773
2373,47567,La Perouse Public School,Yarra Rd,La Perouse ,2036,-33.978352,151.235423
2454,47568,Malabar Public School,231-239 Franklin Street,MALABAR,2036,-33.962214,151.248559
2482,47561,Maroubra Bay Public School,Duncan St,Maroubra ,2035,-33.944236,151.253017
2499,44920,Mascot Public School,King St,Mascot ,2020,-33.928577,151.192485
2502,47569,Matraville Public School,310 BUNNERONG ROAD,MATRAVILLE,2036,-33.955064,151.229111
2520,48670,Menai Public School,4R Hall Drive,Menai ,2234,-34.01213,151.006587
2574,48647,Miranda Public School,3 Sylva Avenue,MIRANDA,2228,-34.034645,151.097405
4075,44918,Kirrawee Public School,146-156 BATH ROAD,KIRRAWEE,2232,-34.033467,151.07749
2624,48636,Mortdale Public School,Colebourne Ave,Mortdale ,2223,-33.972901,151.080995
2744,47592,Newtown North Public School,Carillon Ave,Newtown ,2042,-33.891821,151.185392
2749,47589,Nicholson Street Public School,Nicholson St,Balmain East ,2041,-33.855744,151.193188
2796,48637,Oatley Public School,51-63 Letitia Street,OATLEY,2223,-33.983741,151.080332
2812,47587,Orange Grove Public School,Perry St,Leichhardt ,2040,-33.872278,151.158678
2849,48607,Peakhurst Public School,Bonds Rd,PEAKHURST,2210,-33.955402,151.062306
2861,48137,Penshurst Public School,Arcadia St,Penshurst ,2222,-33.962636,151.087702
2930,56263,Rainbow Street Public School,90-98 Rainbow Street,RANDWICK,2031,-33.924647,151.237164
2973,48623,Rockdale Public School,Lord St,Rockdale ,2216,-33.952626,151.141681
2988,46926,Rose Bay Public School,ROSE BAY PUBLIC SCHOOL 6-10 ALBEMARLE AVENUE,ROSE BAY,2029,-33.873011,151.270962
3032,47595,St Peters Public School,Church St,St Peters ,2044,-33.912993,151.176696
1323,46494,Botany Public School,1076 Botany Rd,Botany ,2019,-33.94316,151.194687
3129,44414,Summer Hill Public School,Moonbie St,Summer Hill ,2130,-33.895815,151.135853
3136,44411,Sutherland Public School,38-54 Eton Street,Sutherland,2232,-34.033001,151.059149
3143,57484,Sylvania Public School,48 PRINCES HIGHWAY,SYLVANIA,2224,-34.008118,151.112077
3168,48655,Taren Point Public School,93 Woodlands Rd,Taren Point,2229,-34.01808,151.12269
3305,45318,Ultimo Public School,Quarry St,Ultimo ,2007,-33.877674,151.195607
3310,48590,Undercliffe Public School,Bayview Ave,Earlwood,2206,-33.924086,151.138601
3325,45310,Vaucluse Public School,Cambridge Ave,Vaucluse ,2030,-33.850478,151.281166
3396,48668,Waterfall Public School,McKell Ave,Waterfall ,2233,-34.137598,150.995977
3453,48587,Athelstane Public School,Athelstane Ave,Arncliffe ,2205,-33.937445,151.138362
3593,48640,Oyster Bay Public School,Short St,Oyster Bay ,2225,-34.00779,151.080693
3668,44401,Cronulla South Public School,Ewos Pde,Cronulla ,2230,-34.06611,151.154201
3703,47052,South Coogee Public School,Moverly Rd,South Coogee,2034,-33.933333,151.25409
3735,48665,Woronora River Public School,Prices Circuit,WORONORA,2232,-34.026575,151.041114
3765,46139,Bundeena Public School,48R Scarborough St,Bundeena,2230,-34.086792,151.152422
3794,46131,Bald Face Public School,Stuart St,Blakehurst ,2221,-33.996752,151.106905
5109,48562,Canterbury South Public School,High St,Canterbury ,2193,-33.917776,151.116013
5114,48582,Ferncourt Public School,Premier St,Marrickville ,2204,-33.921393,151.151497
3796,48605,Lugarno Public School,Old Forest Rd,Lugarno,2210,-33.984956,151.044676
5460,62743,Yudi Gunyi School,237 Botany Rd,Waterloo ,2017,-33.904025,151.203108
3822,48664,Sutherland North Public School,Auburn St,Sutherland ,2232,-34.026785,151.067084
3829,48644,Jannali Public School,107-121 Sutherland Road,JANNALI,2226,-34.017945,151.060909
3873,47598,Dobroyd Point Public School,89 Waratah Street,Haberfield,2045,-33.874416,151.140692
3886,48568,McCallums Hill Public School,35-51 McCallum Street,Roselands,2196,-33.934891,151.084758
3896,44929,Como West Public School,Wolger & Warraba Sts,Como ,2226,-34.004744,151.060505
3905,46922,Pagewood Public School,Page St,Botany ,2019,-33.942104,151.214172
5647,56161,Bates Drive School,Bates Drive,Kareela ,2232,-34.022243,151.08527
3914,45325,Grays Point Public School,109 Angle Rd,Grays Point ,2232,-34.058656,151.0723
3935,45326,Crown Street Public School,356 Crown Street,Surry Hills ,2010,-33.882253,151.21522
3948,47597,Tempe Public School,Unwins Bridge Rd,Tempe ,2044,-33.920935,151.160994
3951,48584,Marrickville West Public School,Livingstone Rd,Marrickville ,2204,-33.914468,151.145073
3952,48583,Marrickville Public School,Chapel St,Marrickville ,2204,-33.906705,151.162658
3953,45823,Waverley Public School,Bronte Rd,Waverley ,2024,-33.898174,151.251539
7408,45324,Bourke Street Public School,590 Bourke St,Surry Hills ,2010,-33.890534,151.215737
3957,48660,Woolooware Public School,Wills Rd,Cronulla ,2230,-34.045454,151.146233
7412,47778,Croydon Park Public School,Georges River Rd,Croydon Park,2133,-33.894695,151.108395
3972,45899,Caringbah North Public School,125 Cawarra Rd,Caringbah ,2229,-34.036574,151.123079
4004,48642,Jannali East Public School,Box Rd,Jannali ,2226,-34.019152,151.07232
4013,45800,Peakhurst West Public School,Ogilvy St,Peakhurst ,2210,-33.962021,151.049429
7419,47583,Glebe Public School,Derwent St,Glebe ,2037,-33.883685,151.19097
4024,48638,Sylvania Heights Public School,Lisbon Street,SYLVANIA,2224,-34.012724,151.097344
4051,56260,Penshurst West Public School,Forest Rd & Scott St,Mortdale ,2223,-33.962115,151.072176
4067,47570,Matraville Soldiers Settlement Public School,Menin Rd,Matraville ,2036,-33.958039,151.239995
4077,45501,Illawong Public School,Fowler Rd,Illawong ,2234,-33.999133,151.042689
4084,48654,Lilli Pilli Public School,Lilli Pilli Point Rd,Lilli Pilli ,2229,-34.066592,151.118387
4122,48646,Miranda North Public School,162B The Boulevarde,Miranda ,2228,-34.031992,151.11273
7442,46134,Woollahra Public School,Forth St,Woollahra ,2025,-33.886379,151.24119
4124,48649,Yowie Bay Public School,Wonga Rd,Yowie Bay ,2228,-34.048155,151.102761
4147,47594,Erskineville Public School,Swanson St,Erskineville ,2043,-33.900881,151.186112
4221,48661,Loftus Public School,Tenth Ave,Loftus ,2232,-34.046979,151.048886
8138,45329,Sydney Girls High School,Moore Park,Surry Hills ,2010,-33.894191,151.220371
4230,48653,Laguna Street Public School,204 Caringbah Road,Caringbah ,2229,-34.04634,151.11285
4250,45315,Randwick Public School,78 Avoca Street,RANDWICK,2031,-33.910645,151.241714
4259,48658,Burraneer Bay Public School,161-165 Burraneer Bay Rd,Cronulla ,2230,-34.051026,151.132781
4292,44926,Engadine West Public School,Woronora Rd,Engadine ,2233,-34.059519,151.002566
4298,44408,Yarrawarrah Public School,Old Bush Rd,Engadine ,2233,-34.056574,151.026137
4299,47566,Chifley Public School,Mitchell St,Malabar,2036,-33.96583,151.242158
3038,48630,Sans Souci Public School,Rocky Point Rd,Sans Souci ,2219,-33.99499,151.12923
4369,47606,Lewisham Public School,49 THE BOULEVARDE,LEWISHAM,2049,-33.897746,151.146076
4389,56310,Gymea North Public School,Ruby Rd,Gymea ,2227,-34.026457,151.088321
8241,48624,Moorefield Girls High School,Princes Hwy,Kogarah ,2217,-33.968311,151.137739
4431,46140,Marton Public School,107 Kingswood Rd,Engadine ,2233,-34.046492,151.024232
4488,46130,Kareela Public School,53 FREYA STREET,KAREELA,2232,-34.012894,151.081991
4496,45515,Dulwich Hill Public School,Kintore St,Dulwich Hill ,2203,-33.906163,151.140287
4502,47608,Petersham Public School,25 Hunter St,Petersham ,2049,-33.895647,151.150175
4507,46138,Bonnet Bay Public School,34R Tudar Road,BONNET BAY,2226,-34.012607,151.056257
4516,45801,Eastlakes Public School,Florence Ave,Eastlakes ,2018,-33.928065,151.213836
4536,48669,Bangor Public School,130 Menai Road,BANGOR,2234,-34.019534,151.029118
8320,46337,Kogarah High School,Gladstone St,Kogarah ,2217,-33.961161,151.134227
4543,56293,Wilkins Public School,Park Rd,Marrickville ,2204,-33.901967,151.155086
4551,45332,Plunkett Street Public School,Forbes St,Woolloomooloo ,2011,-33.870879,151.22024
4573,47900,Tharawal Public School,Gerald Rd,Menai ,2234,-34.003289,151.025929
4586,56279,Sydney Distance Education Primary School,1 Collins Street,Surry Hills,2010,-33.88627,151.212706
4605,56155,Alfords Point Public School,Brushwood Drive,Alfords Point ,2234,-33.992403,151.02399
5272,44417,Heathcote East Public School,Mimosa St,Heathcote ,2233,-34.082071,151.020259
5527,45852,St George School,Marshall St,Kogarah ,2217,-33.969055,151.137532
5575,57881,Cook School,Rawson Ave,Loftus ,2232,-34.041709,151.052545
5606,56183,Cairnsfoot School,58A Francis Avenue,BRIGHTON-LE-SANDS,2216,-33.95457,151.152168
5609,56298,Woniora Road School,83-85 Woniora Rd,Hurstville ,2220,-33.971003,151.103173
5616,56247,Minerva School,Eton St,Sutherland ,2232,-34.034965,151.058739
5631,56291,Wairoa School,Brighton Blvd,Bondi Beach ,2026,-33.886632,151.278496
5703,56201,Carinya School,Colebourne Ave,Mortdale ,2223,-33.973766,151.082222
5737,56227,Edgeware School,Burnett St & Tennett Pde,Hurlstone Park ,2193,-33.913582,151.131342
7401,48585,Arncliffe Public School,Princes Hwy,Arncliffe ,2205,-33.94054,151.14755
8556,46425,Alexandria Park Community School,Park Rd,Alexandria ,2015,-33.901164,151.196518
7404,47588,Balmain Public School,1 Eaton Street,BALMAIN,2041,-33.859166,151.183417
8587,56692,Sydney Distance Education High School,Forbes St,Woolloomooloo ,2011,-33.871053,151.22098
7406,48593,Bexley Public School,Forest Rd,Bexley ,2207,-33.947687,151.128861
7407,46924,Bondi Public School,Wellington St,Bondi ,2026,-33.892625,151.264753
7411,47777,Croydon Public School,39 Young St,Croydon ,2132,-33.879793,151.114887
8833,56198,Dulwich High School of Visual Arts and Design,Seaview St,Dulwich Hill ,2203,-33.904038,151.144871
7413,45322,Daceyville Public School,Joffre Cres,Daceyville ,2032,-33.929548,151.227984
8857,8634,Georges River College Penshurst Campus,2 Austral St,Penshurst ,2222,-33.964071,151.08601
8882,48626,James Cook Boys High School,Princes Hwy,Kogarah ,2217,-33.96648,151.13709
7414,45327,Darlinghurst Public School,Womerah Ave,Potts Point ,2011,-33.878599,151.223432
7418,46132,Gardeners Road Public School,420-422 Gardeners Road,ROSEBERY,2018,-33.920643,151.198034
7423,47586,Leichhardt Public School,Marion St LEICHHARDT NSW 2040,,2040,-33.88427,151.15814
7427,47564,Maroubra Junction Public School,Storey St,Maroubra ,2035,-33.93702706,151.2397289
7431,47593,Newtown Public School,1 Norfolk St,Newtown ,2042,-33.899991,151.179405
7432,45221,Paddington Public School,Oxford St,Paddington ,2021,-33.887603,151.230188
7435,47584,Rozelle Public School,Darling St,Rozelle ,2039,-33.862581,151.169749
7436,47604,Stanmore Public School,Cnr Cambridge and Holt St,Stanmore ,2048,-33.895506,151.165283
1379,47709,Brookvale Public School,Old Pittwater Rd,Brookvale ,2100,-33.761678,151.270787
1485,47611,Cammeray Public School,Palmer St,Cammeray ,2062,-33.820422,151.211542
8107,46392,Canterbury Boys High School,Holden St,Canterbury ,2193,-33.904178,151.123884
8136,48628,St George Girls High School,Victoria St,Kogarah ,2217,-33.959073,151.136035
8137,45328,Sydney Boys High School,556 Cleveland Street,MOORE PARK,2021,-33.892165,151.218904
8141,48595,Sydney Technical High School,686 Forest Rd,Bexley ,2207,-33.963075,151.114342
8147,45319,Conservatorium High School, Macquarie Street,Sydney,2000,-33.863407,151.21408
8152,47776,Burwood Girls High School,95 Queen Street,CROYDON,2132,-33.875318,151.113036
8161,46463,Randwick Boys High School,Rainbow & Avoca Sts,Randwick ,2031,-33.924712,151.238771
8220,46464,Randwick Girls High School,Cnr Avoca and Barker St,Randwick,2031,-33.921832,151.23944
8221,48597,Kingsgrove North High School,2-10 St Albans Road,KINGSGROVE,2208,-33.93398,151.097628
8230,48648,Port Hacking High School,637 Kingsway,MIRANDA,2228,-34.032395,151.097257
4323,48608,Peakhurst South Public School,45A Pindari Road,PEAKHURST HEIGHTS,2210,-33.972923,151.055986
2012,56231,Glenorie Public School,Old Northern Rd,Glenorie ,2157,-33.599444,151.008082
8240,48650,Caringbah High School,85 Willarong Rd,Caringbah,2229,-34.034901,151.120399
8246,48667,Heathcote High School,Wilson Pde,Heathcote,2233,-34.082295,151.01441
8247,48596,Kingsgrove High School,Kingsgrove Rd,Kingsgrove,2208,-33.948519,151.101653
8249,46423,Matraville Sports High School,Anzac Pde,Chifley ,2036,-33.964747,151.244548
2284,47868,Kenthurst Public School,111 Kenthurst Road,KENTHURST,2156,-33.665603,151.004575
8261,48657,Cronulla High School,Captain Cook Drive,Cronulla ,2230,-34.038439,151.159056
8263,46422,J J Cahill Memorial High School,Sutherland St,Mascot,2020,-33.927435,151.201835
2404,47627,Lindfield East Public School,90 Tyron Road,East Lindfield,2070,-33.767479,151.18429
8271,54684,Lucas Heights Community School,132 Old Illawarra Rd,Barden Ridge ,2234,-34.035778,151.004817
8288,57890,Central Sydney Intensive English High School,57-77 Mitchell Road,Alexandria,2015,-33.900033,151.19308
2543,47688,Middle Harbour Public School,8 Hale Rd,Mosman ,2088,-33.82282,151.2327
8386,46414,Gymea Technology High School,Princes Hwy and Hotham Road,Gymea,2227,-34.029985,151.08338
8404,48652,Endeavour Sports High School,Taren Pt Rd & The Boulevarde,Caringbah ,2229,-34.030083,151.117251
8408,8606,Georges River College Peakhurst Campus,Samuel & Rona Sts,Peakhurst ,2210,-33.966882,151.056013
8432,48666,Engadine High School,2 Porter Rd,Engadine ,2233,-34.062141,151.019341
8433,48659,Woolooware High School,2R Woolooware Rd,Woolooware ,2230,-34.039811,151.145595
2761,44410,Northbridge Public School,296a Sailors Bay Rd,Northbridge ,2063,-33.813034,151.218597
8437,48663,Kirrawee High School,21-29 Hunter St,Kirrawee ,2232,-34.04348,151.073475
8463,48639,Sylvania High School,17-23 Bellingara Road,Sylvania,2224,-34.017367,151.103529
8484,46493,Sydney Secondary College Balmain Campus,Terry St,Rozelle ,2039,-33.858506,151.170052
8504,47605,Fort Street High School,620 PARRAMATTA ROAD,PETERSHAM,2049,-33.890196,151.1529
8506,46424,Tempe High School,Unwins Bridge Rd,Tempe ,2044,-33.91975,151.16094
8507,6497,Sydney Secondary College Leichhardt Campus,Balmain Rd,Leichhardt ,2040,-33.879463,151.159003
8530,46498,Newtown High School of Performing Arts,King St,Newtown ,2042,-33.899534,151.178338
8540,46394,Marrickville High School,Northcote St,Marrickville ,2204,-33.905781,151.155995
3023,47743,West Ryde Public School,Endeavour St,West Ryde ,2114,-33.808363,151.085097
8545,47565,South Sydney High School,2-36 O'Sullivan Avenue,MAROUBRA,2035,-33.944154,151.234397
8555,46928,Rose Bay Secondary College,34A Hardy St,Dover Heights,2030,-33.878347,151.276121
8583,46137,Menai High School,40 Gerald Rd,Menai ,2234,-34.002904,151.023851
