School_code,AgeID,SchoolName,Street,Town_suburb,Postcode,Latitude,Longitude
4402,50822,Tregear Public School,Wilkes Cres,Tregear,2770,-33.745883,150.794321
2652,50881,Mount Victoria Public School,Great Western Hwy,Mount Victoria ,2786,-33.591334,150.253883
2659,50705,Mulgoa Public School,1189-1193 Mulgoa Road,Mulgoa,2745,-33.836505,150.650344
8456,46468,Fairvale High School,Thorney Rd & Maude St,Fairfield West ,2165,-33.873614,150.929459
2838,54743,Parklea Public School,Glenwood Park Drive,GLENWOOD,2768,-33.725885,150.93476
2842,47849,Parramatta North Public School,Albert St,NORTH PARRAMATTA,2151,-33.803951,151.004694
2843,47846,Parramatta West Public School,Auburn & Young Sts,Parramatta ,2150,-33.824472,150.990968
2859,50714,Penrith Public School,51 High St,Penrith ,2750,-33.755926,150.70439
4441,47856,Crestwood Public School,38 Peel Rd,Baulkham Hills ,2153,-33.749141,150.972197
2884,50749,Pitt Town Public School,Buckingham St,Pitt Town ,2756,-33.583887,150.859638
2887,46357,Plumpton Public School,Bottles Rd,Plumpton ,2761,-33.749158,150.838556
2918,50782,Quakers Hill Public School,Medlow Drive,Quakers Hill ,2763,-33.737467,150.885265
2970,50786,Riverstone Public School,Elizabeth St,Riverstone,2765,-33.678387,150.871019
3008,47860,Rouse Hill Public School,Clower Ave,Rouse Hill ,2155,-33.679219,150.920985
3031,50774,St Marys Public School,Princess Mary St,St Marys ,2760,-33.768364,150.770634
4453,50794,Blackett Public School,47-59 Boldrewood Rd,Blackett ,2770,-33.739605,150.815858
3046,50780,Schofields Public School,60 St Albans Road,SCHOFIELDS,2762,-33.693115,150.875247
3053,47822,Seven Hills North Public School,45 Beethoven St,Seven Hills ,2147,-33.759976,150.955041
4473,50777,Werrington Public School,Heavey St,Werrington ,2747,-33.755125,150.745293
3095,50844,Springwood Public School,Burns Rd,Springwood ,2777,-33.704613,150.573472
3240,56290,Toongabbie Public School,Fitzwilliam Rd,Toongabbie ,2146,-33.787181,150.966667
4480,50792,Bidwill Public School,45 Bunya Rd,Bidwill,2770,-33.733547,150.825934
3329,50787,Vineyard Public School,4 Bandon Rd,Vineyard ,2765,-33.647352,150.857935
3346,50721,Wallacia Public School,1573-1585 Mulgoa Rd,Wallacia,2745,-33.862695,150.641613
4484,56184,Cambridge Gardens Public School,Trinity Drive,Cambridge Park ,2747,-33.737224,150.722008
4493,50818,Noumea Public School,Noumea St,Shalvey ,2770,-33.732606,150.809892
4504,50790,Crawford Public School,Power St,Doonside ,2767,-33.75479,150.868825
3422,50869,Wentworth Falls Public School,Falls Rd,Wentworth Falls ,2782,-33.714112,150.373525
4526,45505,Matthew Pearce Public School,Astoria Park Rd,Baulkham Hills ,2153,-33.758183,150.963554
3441,50751,Wilberforce Public School,Macquarie Rd,Wilberforce ,2756,-33.558704,150.839763
4528,47819,Kings Langley Public School,68 Isaac Smith Pde,Kings Langley ,2147,-33.745131,150.924433
4531,55121,St Clair Public School,4 Timesweep Drive,ST CLAIR,2759,-33.796324,150.786899
4541,50776,Werrington County Public School,John Batman Ave,Werrington ,2747,-33.74513,150.747554
4544,50696,Jamisontown Public School,Thurwood Ave,SOUTH PENRITH,2750,-33.77306,150.683083
3459,50755,Windsor Public School,Dight St,Windsor ,2756,-33.610366,150.816413
4559,56176,Blackwell Public School,Blackwell Ave,St Clair ,2759,-33.806328,150.783052
3470,48698,Wisemans Ferry Public School,Old Northern Rd,Wisemans Ferry ,2775,-33.385958,150.984133
4568,56210,Ellison Public School,Ellison Rd,Springwood ,2777,-33.69035,150.585327
3883,47814,Westmead Public School,Hawkesbury Rd,Westmead,2145,-33.810171,150.985291
4576,54985,William Dean Public School,Yarramundi Drive,Dean Park ,2761,-33.734259,150.858693
3931,47823,Seven Hills Public School,2A Lucas Road,SEVEN HILLS,2147,-33.770031,150.937488
3987,45313,Katoomba North Public School,Barton St,Katoomba ,2780,-33.699128,150.315134
4585,54949,Bligh Park Public School,64 Alexander Street,Bligh Park,2756,-33.639133,150.794565
3997,56237,Hilltop Road Public School,Hilltop Rd,Merrylands ,2160,-33.826331,150.973319
4591,55389,Glenmore Park Public School,33-41 The Lakes Drive,Glenmore Park ,2745,-33.783388,150.681117
3999,50732,Richmond Public School,115 WINDSOR STREET,RICHMOND,2753,-33.598937,150.757514
4599,54672,Barnier Public School,120 Barnier Drive,QUAKERS HILL,2763,-33.72051,150.901824
4029,47747,Dundas Public School,85 Kissing Point Road,Dundas,2117,-33.804424,151.036399
4055,50772,Oxley Park Public School,Adelaide St,St Marys ,2760,-33.771451,150.788894
4615,57593,Caddies Creek Public School,21 GLENWOOD PARK DR,GLENWOOD,2768,-33.736255,150.926227
4060,50687,Cambridge Park Public School,35 Oxford St,Cambridge Park ,2747,-33.747017,150.725939
4622,55984,Claremont Meadows Public School,124-164 Sunflower Drive,Claremont Meadows,2747,-33.774178,150.747014
4103,47749,Telopea Public School,Chestnut Avenue,Telopea,2117,-33.797032,151.04364
4116,47832,Blacktown West Public School,Lancaster St,Blacktown ,2148,-33.770441,150.893057
4138,50715,Penrith South Public School,172-190 Jamison Rd,Penrith,2750,-33.763901,150.700637
4639,58174,Kellyville Ridge Public School,Cnr Singleton Ave GREENWICH St,Kellyville Ridge,2155,-33.705413,150.924005
4148,50690,Castlereagh Public School,87-101 Post Office Rd,Castlereagh,2749,-33.667028,150.675968
4645,67583,Ropes Crossing Public School,52 PULLEY DRIVE,ROPES CROSSING,2760,-33.7334423,150.7830912
4157,47750,Yates Avenue Public School,Yates Ave,Dundas Valley,2117,-33.795608,151.058398
5411,45850,Rowland Hassall School,18B Parkham Street,CHESTER HILL,2162,-33.867715,150.989018
5459,62759,Tallowood School,44-68 Redden Dr,Kellyville ,2155,-33.707054,150.95217
5559,56312,Redbank School,6 Dragonfly Drive WESTMEAD NSW 2145,,2145,-33.800809,150.987659
4166,47835,Marayong Public School,Davis Rd,Blacktown ,2148,-33.756609,150.895304
4191,47820,Lalor Park Public School,Heffron Rd,Lalor Park ,2147,-33.760504,150.93125
5621,55390,Kurrambee School,11 Werrington Rd Werrington  NSW 2747,,2747,-33.766355,150.757118
4192,47821,Bert Oldfield Public School,Oldfield Rd,Seven Hills,2147,-33.777505,150.924537
4195,50841,Warrimoo Public School,Florabella St,Warrimoo ,2774,-33.728056,150.600217
4205,50773,St Marys North Public School,24-40 Willow Road,North St Marys,2760,-33.756231,150.782596
4248,47826,Vardys Road Public School,20 Vardys Rd,SEVEN HILLS,2147,-33.757148,150.942765
4279,50775,St Marys South Public School,96 Monfarville St,St Marys ,2760,-33.780052,150.776385
4282,47834,Marayong Heights Public School,Guerie St,Marayong,2148,-33.742667,150.896425
4290,50815,Mount Druitt Public School,51 Belmore Avenue,MOUNT DRUITT,2770,-33.763984,150.812509
4381,47839,Shelley Public School,21 Hadrian Ave,Blacktown ,2148,-33.789161,150.917863
4382,47857,Jasper Road Public School,Jasper Rd,Baulkham Hills ,2153,-33.761316,150.982269
8150,50862,Katoomba High School,Martin St,Katoomba ,2780,-33.727402,150.314399
4405,47802,Beresford Road Public School,Beresford Rd,Greystanes ,2145,-33.814864,150.942945
4408,50805,Lethbridge Park Public School,Copeland Rd,Lethbridge Park,2770,-33.737964,150.800109
8224,47828,Blacktown Girls High School,Fifth Ave,Blacktown ,2148,-33.761976,150.910792
4417,47862,Winston Hills Public School,Hillcrest Rd,Winston Hills ,2153,-33.773464,150.981106
8231,6399,Seven Hills High School,Johnson Ave,Seven Hills,2147,-33.762705,150.94487
2815,50711,Orchard Hills Public School,79-101 Kingswood Rd,Orchard Hills ,2748,-33.783029,150.721365
8244,47827,Blacktown Boys High School,Sunnyholt Rd & Fifth Ave,Blacktown ,2148,-33.762057,150.912543
8268,63673,Glenwood High School,Forman Ave & Glenwood Park Dr,Glenwood ,2768,-33.733029,150.937429
4424,50834,Lapstone Public School,Explorers Rd,Glenbrook ,2773,-33.772117,150.631327
8291,66004,Rouse Hill High School,240 Withers Rd,ROUSE HILL,2155,-33.6864,150.9317
8383,50709,Nepean Creative and Performing Arts High School,Great Western Hwy,Emu Plains ,2750,-33.747745,150.668882
8385,47806,Greystanes High School,Beresford Rd,Greystanes ,2145,-33.812495,150.940352
4435,50839,Mount Riverview Public School,Rusden Rd,MOUNT RIVERVIEW,2774,-33.72951,150.632585
4436,50845,Winmalee Public School,1-15 Leslie Street,WINMALEE,2777,-33.670272,150.610783
8399,46397,Doonside High School,Power St,Doonside ,2767,-33.754708,150.874186
8403,47837,Mitchell High School,52 KEYWORTH DRIVE,BLACKTOWN,2148,-33.784795,150.915971
4442,50693,Emu Heights Public School,65A Wedmore Rd,EMU HEIGHTS,2750,-33.736652,150.648818
8420,46355,Evans High School,166 Walters Road,BLACKTOWN,2148,-33.786512,150.889725
4444,47817,Metella Road Public School,117-131 Metella Road,TOONGABBIE,2146,-33.793967,150.934756
4446,50799,Dawson Public School,Stuart Rd,Dharruk ,2770,-33.745369,150.816017
8458,50698,Kingswood High School,Bringelly Rd,Kingswood ,2747,-33.770416,150.715263
4447,50802,Hebersham Public School,Andover Cres,Hebersham ,2770,-33.748103,150.825924
8464,47852,Baulkham Hills High School,Windsor Rd,Baulkham Hills ,2153,-33.750227,150.991499
8477,57208,Kellyville High School,York Rd,Kellyville ,2155,-33.707777,150.969921
4449,50812,Madang Avenue Public School,Mimika Avenue,Whalan,2770,-33.759958,150.804846
8496,10820,Chifley College Shalvey Campus,Noumea St,Shalvey ,2770,-33.730804,150.80574
4452,50726,Hobartville Public School,Valder Ave,Hobartville ,2753,-33.603649,150.742281
8500,47804,Girraween High School,110 Gilba Rd,GIRRAWEEN,2145,-33.79989,150.944577
4470,50829,Willmot Public School,Discovery Ave,Willmot,2770,-33.725747,150.794401
4471,47861,Winston Heights Public School,Buckley Rd,Winston Hills ,2153,-33.77485,150.967894
4475,50704,Leonay Public School,Buring Ave,Emu Plains ,2750,-33.76432,150.650498
4476,50821,Shalvey Public School,Laver St,Shalvey,2770,-33.726605,150.809439
4482,50722,York Public School,Evan St,SOUTH PENRITH,2750,-33.777111,150.698124
8552,47855,Crestwood High School,17 Chapel Lane,Baulkham Hills ,2153,-33.743607,150.975672
8559,56211,Jamison High School,222 Evans St,SOUTH PENRITH,2750,-33.775335,150.698118
8565,54984,Hawkesbury High School,1 Hibberts Lane,Freemans Reach ,2756,-33.559541,150.798039
8571,50719,St Clair High School,6 Endeavour Avenue,ST CLAIR,2759,-33.794217,150.786794
4483,50724,Grose View Public School,Grose Wold Rd,Grose Vale ,2753,-33.594468,150.66485
4525,50683,Braddock Public School,Laycock St,Cranebrook ,2749,-33.722492,150.708382
4527,50769,Clairgate Public School,Colorado Drive,St Clair ,2759,-33.796329,150.799228
4546,50866,Katoomba Public School,Merriwa St,Katoomba ,2780,-33.718645,150.313708
8822,47842,Macarthur Girls High School,1-19 Macarthur Street,Parramatta,2150,-33.813086,151.012499
8892,46461,Arthur Phillip High School,102-116 Macquarie Street,Parramatta,2150,-33.815715,151.007474
4560,56273,Samuel Terry Public School,93-107 Grays Lane,CRANEBROOK,2749,-33.713307,150.708745
